source,medium,campaign,content,url
tiktok,promote,furlift_promote_test,problem_first,https://mxu168-9g.myshopify.com/products/furlift-reusable-pet-hair-detailer?utm_source=tiktok&utm_medium=promote&utm_campaign=furlift_promote_test&utm_content=problem_first
tiktok,promote,furlift_promote_test,transformation_first,https://mxu168-9g.myshopify.com/products/furlift-reusable-pet-hair-detailer?utm_source=tiktok&utm_medium=promote&utm_campaign=furlift_promote_test&utm_content=transformation_first
tiktok,promote,furlift_promote_test,pov_style,https://mxu168-9g.myshopify.com/products/furlift-reusable-pet-hair-detailer?utm_source=tiktok&utm_medium=promote&utm_campaign=furlift_promote_test&utm_content=pov_style
tiktok_creator,paid_creator,furlift_seed,creator_01,https://mxu168-9g.myshopify.com/products/furlift-reusable-pet-hair-detailer?utm_source=tiktok_creator&utm_medium=paid_creator&utm_campaign=furlift_seed&utm_content=creator_01
tiktok_creator,paid_creator,furlift_seed,creator_02,https://mxu168-9g.myshopify.com/products/furlift-reusable-pet-hair-detailer?utm_source=tiktok_creator&utm_medium=paid_creator&utm_campaign=furlift_seed&utm_content=creator_02
tiktok_creator,paid_creator,furlift_seed,creator_03,https://mxu168-9g.myshopify.com/products/furlift-reusable-pet-hair-detailer?utm_source=tiktok_creator&utm_medium=paid_creator&utm_campaign=furlift_seed&utm_content=creator_03
tiktok_creator,paid_creator,furlift_seed,creator_04,https://mxu168-9g.myshopify.com/products/furlift-reusable-pet-hair-detailer?utm_source=tiktok_creator&utm_medium=paid_creator&utm_campaign=furlift_seed&utm_content=creator_04
tiktok,agency_paid,furlift_cold_test,spark_problem_first,https://mxu168-9g.myshopify.com/products/furlift-reusable-pet-hair-detailer?utm_source=tiktok&utm_medium=agency_paid&utm_campaign=furlift_cold_test&utm_content=spark_problem_first
tiktok,agency_paid,furlift_cold_test,spark_pov_style,https://mxu168-9g.myshopify.com/products/furlift-reusable-pet-hair-detailer?utm_source=tiktok&utm_medium=agency_paid&utm_campaign=furlift_cold_test&utm_content=spark_pov_style
